rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_angseperr1,pl_angseperr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_plxerr1,st_plxerr2,st_plxlim,gaia_plx,gaia_plxerr1,gaia_plxerr2,gaia_plxlim,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,gaia_pmra,gaia_pmraerr,gaia_pmralim,gaia_pmdec,gaia_pmdecerr,gaia_pmdeclim,gaia_pm,gaia_pmerr,gaia_pmlim,st_radv,st_radverr1,st_radverr2,st_radvlim,st_sp,st_spstr,st_sperr,st_splim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_dens,st_denserr1,st_denserr2,st_denslim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metratio,st_age,st_ageerr1,st_ageerr2,st_agelim,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_acts,st_actserr,st_actslim,st_actr,st_actrerr,st_actrlim,st_actlx,st_actlxerr,st_actlxlim,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_ujerr,st_ujlim,st_vj,st_vjerr,st_vjlim,st_bj,st_bjerr,st_bjlim,st_rc,st_rcerr,st_rclim,st_ic,st_icerr,st_iclim,st_j,st_jerr,st_jlim,st_h,st_herr,st_hlim,st_k,st_kerr,st_klim,st_wise1,st_wise1err,st_wise1lim,st_wise2,st_wise2err,st_wise2lim,st_wise3,st_wise3err,st_wise3lim,st_wise4,st_wise4err,st_wise4lim,st_irac1,st_irac1err,st_irac1lim,st_irac2,st_irac2err,st_irac2lim,st_irac3,st_irac3err,st_irac3lim,st_irac4,st_irac4err,st_irac4lim,st_mips1,st_mips1err,st_mips1lim,st_mips2,st_mips2err,st_mips2lim,st_mips3,st_mips3err,st_mips3lim,st_iras1,st_iras1err,st_iras1lim,st_iras2,st_iras2err,st_iras2lim,st_iras3,st_iras3err,st_iras3lim,st_iras4,st_iras4err,st_iras4lim,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_bmvj,st_bmvjerr,st_bmvjlim,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_jmh2,st_jmh2err,st_jmh2lim,st_hmk2,st_hmk2err,st_hmk2lim,st_jmk2,st_jmk2err,st_jmk2lim,st_bmy,st_bmyerr,st_bmylim,st_m1,st_m1err,st_m1lim,st_c1,st_c1err,st_c1lim,st_colorn
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,0,1,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,0.680000,0.020000,-0.020000,0,,,,0,1.78000,0.08000,-0.08000,0,Msini,,,,0,,,,0,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0,21.15,0.01,-0.01,0,6.250,,0,V (Johnson),6.057,,0,5750.00,8.00,-8.00,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,2018-09-06,0,1,0,0,0,0,7.85000e+01,1.420000e+00,-1.420000e+00,,,,0,,,,0,50.500,1.600,-1.600,0,,,,0,,,,0,,,,,1.78000,0.08000,-0.08000,0,,,,,565.73740,25.42640,-25.42640,0,565.73740,25.42640,-25.42640,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,Stassun et al. 2017,1996, Cochran et al. 1997 ,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,77,40,http://exoplanet.eu/catalog/16_cyg_b_b/,http://exoplanets.org/detail/16_Cyg_B_b,1997-07,HD 186427,HIP 96901,19.69777018,83.336460,13.204352,321.218050,69.468372,47.28,0.02,-0.02,0,47.28,0.02,-0.02,0,-134.800,0.000,0,-162.500,0.000,0,211.100,0.000,0,-134.800,0.000,0,-162.500,0.000,0,211.100,0.000,0,-28.10,0.10,-0.10,0,4.25,G2.5 V,,0,4.36,0.01,-0.01,0,,,,0,,,,0,0.060,,,0,[Fe/H],,,,0,2.1800,,,0,0.148,0.019,0,-5.080,,0,,,,,5,0,1,4,0,4,3,7.070,,0,6.250,,0,6.910,,0,,,,,,,4.993,0.037,0,4.695,0.036,0,4.651,0.016,0,4.773,0.236,0,4.568,0.106,0,4.926,0.033,0,4.713,0.028,0,,,,,,,,,,,,,4.694e+00,3.500e-02,0,4.362e+00,4.230e-01,1,,,,,,,,,,,,,,,,28,0.210,,0,0.660,,0,,,,,,,0.298,0.052,0,0.044,0.039,0,0.342,0.040,0,0.418,0.003,0,0.222,0.003,0,0.351,0.003,0,17
9,24 Sex,b,24 Sex b,Radial Velocity,0,2,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,72.21,0.68,-0.68,0,6.441,0.010,0,V (Johnson),6.198,,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,2014-05-14,0,1,0,0,0,0,1.85000e+01,1.900000e-01,-1.900000e-01,2454762.000000,67.300000,-172.300000,0,9.2000,277.9000,-165.4000,0,40.000,4.900,-7.800,0,,,,,,,,,,,,,1.99000,0.26000,-0.38000,0,,,,,632.46000,82.63000,-120.77000,0,632.46000,82.63000,-120.77000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Johnson et al. 2010 ,2010, Johnson et al. 2010 ,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,3,0,21,17,http://exoplanet.eu/catalog/24_sex_b/,http://exoplanets.org/detail/24_Sex_b,2011-01,HD 90043,HIP 50887,10.39121399,245.085309,44.715734,157.993590,-10.198148,13.85,0.13,-0.13,0,13.85,0.13,-0.13,0,65.200,0.200,0,-36.300,0.200,0,74.600,0.200,0,65.200,0.200,0,-36.300,0.200,0,74.600,0.200,0,7.29,0.18,-0.18,0,5.00,K0 IV,,0,3.50,0.10,-0.10,0,1.164,0.003,-0.003,0,,,,,-0.030,0.040,-0.040,0,[Fe/H],2.700,0.400,-0.400,,2.7700,0.5000,-0.5000,0,,,,,,,,,,,3,0,1,2,0,3,1,,,,6.441,0.010,0,7.399,0.015,0,,,,,,,5.292,0.338,0,4.486,0.076,0,4.285,0.016,0,4.094,0.327,0,3.598,0.156,0,4.254,0.015,0,4.201,0.024,0,,,,,,,,,,,,,,,,,,,,,,3.803e+00,8.700e-02,0,2.555e+00,,1,1.102e+00,,1,-9.160e-01,,1,17,,,,0.958,0.018,0,,,,,,,0.806,0.346,0,0.201,0.078,0,1.007,0.338,0,0.572,0.003,0,0.342,0.004,0,0.427,0.004,0,8
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,0,1,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,12.50000,1.50000,-1.50000,0,Mass,,,,,,,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,10.00,-10.00,0,69.71,0.16,-0.16,0,12.510,0.030,0,V (Johnson),11.948,,0,4045.00,35.00,-35.00,0,0.60,0.05,-0.05,0,,,,,2016-11-10,0,0,1,0,0,0,3.11000e+03,4.990000e+02,-4.990000e+02,,,,,,,,,,,,,,,,,,,,,12.50000,1.50000,-1.50000,0,,,,,3972.87500,476.74500,-476.74500,0,,,,,3972.87500,476.74500,-476.74500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler et al. 2017,2016,Bowler et al. 2017,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,3,0,8,5,http://exoplanet.eu/catalog/2m_2236%2B4751_b/,,,,,22.60681356,100.748288,-9.108906,6.858823,50.853569,,,,0,14.34,0.03,-0.03,0,62.900,0.100,0,-30.500,0.100,0,69.900,0.100,0,62.900,0.100,0,-30.500,0.100,0,69.900,0.100,0,-21.50,0.20,-0.20,0,5.70,K7 V,,0,,,,,,,,,,,,,,,,,,0.120,0.010,-0.010,,,,,,,,,,,,,,,,0,0,0,0,0,3,0,,,,12.510,0.030,0,13.730,0.180,0,,,,,,,9.975,0.018,0,9.338,0.019,0,9.148,0.016,0,9.058,0.023,0,9.094,0.020,0,8.947,0.027,0,8.731,0.356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,0.637,0.026,0,0.190,0.025,0,0.827,0.024,0,,,,,,,,,,3
25,51 Peg,b,51 Peg b,Radial Velocity,0,1,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,Msini,,,,,,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0,15.47,0.03,-0.03,0,5.500,,0,V (Johnson),5.256,,0,5793.00,70.00,-70.00,0,1.12,0.06,-0.06,0,1.20,,,0,2014-05-14,0,1,0,0,0,0,3.41000e+00,1.940000e-01,-1.940000e-01,2450001.510000,0.610000,-0.610000,0,58.0000,,,0,55.940,0.690,-0.690,0,,,,,,,,,,,,,0.47200,0.03900,-0.03900,0,,,,,150.00900,12.39500,-12.39500,0,150.00900,12.39500,-12.39500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Butler et al. 2006 ,1995, Mayor & Queloz 1995 ,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,3,0,62,44,http://exoplanet.eu/catalog/51_peg_b/,http://exoplanets.org/detail/51_Peg_b,1995-11,HD 217014,HIP 113357,22.95777181,90.062611,-34.727214,354.284094,25.186477,64.65,0.12,-0.12,0,64.65,0.12,-0.12,0,207.400,0.200,0,62.100,0.200,0,216.500,0.200,0,207.400,0.200,0,62.100,0.200,0,216.500,0.200,0,-33.25,0.00,0.00,0,4.25,G2.5 IV,,0,4.33,0.10,-0.10,0,,,,,,,,,0.200,0.070,-0.070,0,[Fe/H],4.000,2.500,-2.500,,2.0000,,,0,0.148,0.019,0,-5.080,,0,,,,,6,0,1,5,0,4,4,6.370,,0,5.500,,0,6.170,,0,,,,,,,4.655,0.296,0,4.234,0.270,0,3.911,0.021,0,3.909,0.387,0,3.624,0.246,0,3.929,0.016,0,3.904,0.024,0,,,,,,,,,,,,,3.948e+00,3.500e-02,0,3.649e+00,1.960e-01,0,,,,3.546e+00,8.700e-02,0,3.407e+00,,1,1.184e+00,,1,-9.160e-01,,1,24,0.200,,0,0.670,,0,,,,,,,0.421,0.401,0,0.323,0.271,0,0.744,0.297,0,0.420,0.001,0,0.234,0.003,0,0.374,0.004,0,20
33,61 Vir,c,61 Vir c,Radial Velocity,0,3,38.02100000,0.03400000,-0.03400000,0,0.217500,0.000100,-0.000100,0,0.140000,0.060000,-0.060000,0,,,,,0.05700,0.00300,-0.00300,0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0,8.51,0.02,-0.02,0,4.740,,0,V (Johnson),4.477,,0,5577.00,33.00,-33.00,0,0.94,0.03,-0.03,0,0.96,0.01,-0.01,0,2014-05-14,0,1,0,0,0,0,2.56000e+01,5.000000e-02,-5.000000e-02,,,,,341.0000,38.0000,-38.0000,0,3.620,0.230,-0.230,0,,,,,,,,,,,,,0.05700,0.00300,-0.00300,0,,,,,18.20000,1.10000,-1.10000,0,18.20000,1.10000,-1.10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Vogt et al. 2010 ,2009, Vogt et al. 2010 ,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,3,0,42,46,http://exoplanet.eu/catalog/61_vir_c/,http://exoplanets.org/detail/61_Vir_c,2010-01,HD 115617,HIP 64924,13.30675456,311.859025,44.092637,205.007200,-9.297809,117.57,0.24,-0.24,0,117.57,0.24,-0.24,0,-1070.800,0.400,0,-1063.000,0.400,0,1508.800,0.400,0,-1070.800,0.400,0,-1063.000,0.400,0,1508.800,0.400,0,-8.20,0.10,-0.10,0,4.50,G5 V,,0,4.34,0.03,-0.03,0,-0.095,0.003,-0.003,0,,,,,-0.010,,,0,[Fe/H],8.960,2.760,-3.080,,1.9000,,,0,0.156,0.020,0,-5.040,,0,26.870,,1,,7,0,1,6,0,4,9,5.710,,0,4.740,,0,5.450,,0,4.330,,0,3.970,,0,3.334,0.200,0,2.974,0.176,0,2.956,0.236,0,2.144,,-1,2.791,0.524,0,3.091,0.009,0,2.986,0.019,0,,,,,,,,,,,,,3.008e+00,3.500e-02,0,1.502e+00,1.180e-01,0,,,,2.597e+00,6.500e-02,0,2.651e+00,1.310e-01,0,1.184e+00,,1,-1.117e+00,,1,36,0.260,,0,0.710,,0,0.755,,0,0.395,,0,0.360,0.266,0,0.018,0.294,0,0.378,0.309,0,0.433,0.000,0,0.252,0.001,0,0.332,0.002,0,21
41,AB Pic,b,AB Pic b,Imaging,0,1,,,,,260.000000,,,0,,,,,,,,,13.50000,0.50000,-0.50000,0,Mass,,,,,,,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,50.12,0.07,-0.07,0,50.12,0.07,-0.07,0,9.128,0.019,0,V (Johnson),8.838,,0,,,,,,,,,,,,,2014-05-14,0,0,1,0,0,0,5.19000e+03,8.000000e+00,-8.000000e+00,,,,,,,,,,,,,,,,,,,,,13.50000,0.50000,-0.50000,0,,,,,4290.50000,158.90000,-158.90000,0,,,,,4290.50000,158.90000,-158.90000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Chauvin et al. 2005 ,2005, Chauvin et al. 2005 ,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,3,0,13,16,http://exoplanet.eu/catalog/ab_pic_b/,,2005-08,HD 44627,HIP 30034,6.32025350,266.943713,-26.930799,106.859385,-81.211862,19.95,0.03,-0.03,0,19.95,0.03,-0.03,0,14.300,0.100,0,45.100,0.100,0,47.300,0.100,0,14.300,0.100,0,45.100,0.100,0,47.300,0.100,0,22.20,0.30,-0.30,0,5.20,K2 V,,0,,,,,,,,,,,,,,,,,,0.030,,,,12.0000,,,0,,,,,,,,,,,1,0,1,0,0,3,0,,,,9.128,0.019,0,10.011,0.028,0,,,,,,,7.576,0.024,0,7.088,0.021,0,6.981,0.024,0,6.897,0.060,0,6.888,0.020,0,6.858,0.016,0,6.829,0.058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,0.883,0.033,0,,,,,,,0.488,0.032,0,0.107,0.032,0,0.595,0.034,0,0.537,0.002,0,0.310,0.003,0,0.313,0.005,0,8
49,BD+20 594,b,BD+20 594 b,Transit,0,1,41.68550000,0.00300000,-0.00300000,0,,,,0,0.000000,,,0,89.550,0.160,-0.160,0,0.07000,0.03000,-0.03000,0,Mass,0.230,0.010,-0.010,0,,,,0,0,0,1,1,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,1.25,-1.25,0,180.39,1.25,-1.25,0,11.038,0.047,0,V (Johnson),10.864,,0,5766.00,99.00,-99.00,0,1.67,0.40,-0.40,0,1.08,0.06,-0.06,0,2018-04-26,1,1,0,0,0,0,,,,,,,0,,,,0,3.100,1.100,-1.100,0,,,,0,,,,0,0.07000,0.03000,-0.03000,0,,,,0,22.24810,9.53490,-9.53490,0,,,,0,22.24810,9.53490,-9.53490,0,2.578,0.112,-0.112,0,0.024,0.001,-0.001,0,0.049000,0.002500,-0.002500,0,,,,0,,,,0,,,,,0,,,,0,55.800000,3.300000,-3.300000,0,,,,0,Stassun et al. 2017,2016,Espinoza et al. 2016,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,3,0,48,11,http://exoplanet.eu/catalog/bd%2B20_594_b/,,,,,3.57673111,166.796349,-28.053358,56.292499,1.312319,5.54,0.04,-0.04,0,5.54,0.04,-0.04,0,37.100,1.500,,-51.500,1.500,,63.500,1.500,,36.600,0.100,0,-51.400,0.100,0,63.100,0.100,0,-20.34,0.00,0.00,0,4.00,G,,0,4.50,0.08,-0.08,0,,,,0,1.8900,0.3400,-0.3400,0,-0.150,,,0,[Fe/H],,,,0,3.3000,0.3100,-0.3100,0,,,,,,,,,,,0,0,0,0,0,3,0,,,,11.038,0.047,0,11.728,0.044,0,,,,,,,9.770,0.022,0,9.432,0.022,0,9.368,0.018,0,9.310,0.024,0,9.344,0.020,0,9.332,0.038,0,8.976,0.527,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,0.918,0.149,0,,,,,,,0.338,0.031,0,0.064,0.028,0,0.402,0.028,0,,,,,,,,,,4
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,0,1,3.48777000,0.00011000,-0.00011000,0,0.040000,0.000000,0.000000,0,0.020000,0.020000,-0.020000,0,,,,0,0.59000,0.07000,-0.07000,0,Msini,,,,0,,,,0,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,84.61,0.35,-0.35,0,84.61,0.35,-0.35,0,10.080,,0,V (Johnson),9.840,,0,5393.00,44.00,-44.00,0,1.47,0.24,-0.24,0,0.91,0.04,-0.04,0,2018-09-06,0,1,0,0,0,0,4.73000e-01,2.000000e-03,-2.000000e-03,,,,0,,,,0,60.900,1.400,-1.400,0,,,,0,,,,0,,,,,0.59000,0.07000,-0.07000,0,,,,,187.51970,22.24810,-22.24810,0,187.51970,22.24810,-22.24810,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,,0,,,,0,,,,0,,,,0,Stassun et al. 2017,2000, Butler et al. 2000 ,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,47,14,http://exoplanet.eu/catalog/bd-10_3166_b/,http://exoplanets.org/detail/BD_-10_3166_b,2000-12,,,10.97466687,263.285621,43.238484,170.135211,-15.967545,11.82,0.05,-0.05,0,11.82,0.05,-0.05,0,-184.800,0.100,0,-8.400,0.100,0,185.000,0.100,0,-184.800,0.100,0,-8.400,0.100,0,185.000,0.100,0,26.40,2.00,-2.00,0,5.00,K0 V,,0,4.69,0.06,-0.06,0,,,,0,,,,0,0.380,,,0,[Fe/H],,,,0,0.9200,,,0,,,,,,,,,,,2,0,0,2,0,3,0,11.500,,0,10.080,,0,10.920,,0,,,,,,,8.611,0.032,0,8.300,0.040,0,8.124,0.026,0,8.109,0.022,0,8.141,0.019,0,8.145,0.022,0,7.566,0.158,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.580,,0,0.840,,0,,,,,,,0.311,0.051,0,0.176,0.048,0,0.487,0.041,0,,,,,,,,,,7
65,CoRoT-1,b,CoRoT-1 b,Transit,0,1,1.50895570,0.00000640,-0.00000640,0,,,,,0.000000,,,0,85.100,0.500,-0.500,0,1.03000,0.12000,-0.12000,0,Mass,1.490,0.080,-0.080,0,0.38000,0.05000,-0.05000,0,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,24.33,-24.33,0,805.31,24.33,-24.33,0,13.600,,0,V (Johnson),13.457,,0,5950.00,150.00,-150.00,0,0.95,0.15,-0.15,0,1.11,0.05,-0.05,0,2014-05-14,1,1,0,0,1,0,,,,,,,,,,,,188.000,11.000,-11.000,0,1898,50,-50,0,,,,,1.03000,0.12000,-0.12000,0,,,,,327.35000,38.14000,-38.14000,0,,,,,327.35000,38.14000,-38.14000,0,16.700,0.900,-0.900,0,0.153,0.008,-0.008,0,1.926540,0.058737,-0.057855,0,,,,,2454159.453200,0.000100,-0.000100,0,JD,,,,,,,,,4.920000,0.080000,-0.080000,0,0.13880,0.00210,-0.00210,0, Barge et al. 2008 ,2008, Barge et al. 2008 ,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3,0,69,18,http://exoplanet.eu/catalog/corot-1_b/,http://exoplanets.org/detail/CoRoT-1_b,2008-05,,,6.80532567,215.338871,-2.107038,103.441849,-25.979515,1.24,0.04,-0.04,0,1.24,0.04,-0.04,0,-6.000,0.000,0,0.500,0.000,0,6.000,0.000,0,-6.000,0.000,0,0.500,0.000,0,6.000,0.000,0,23.35,0.01,-0.01,0,4.00,G0 V,,0,4.25,0.30,-0.30,0,,,,,,,,,-0.300,0.250,-0.250,0,[M/H],,,,,5.2000,1.0000,-1.0000,0,,,,,,,,,,,7,4,0,1,2,3,0,,,,13.600,,0,,,,,,,,,,12.462,0.029,0,12.218,0.026,0,12.149,0.027,0,12.098,0.023,0,12.136,0.023,0,12.290,0.338,0,9.091,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,0.244,0.039,0,0.069,0.037,0,0.313,0.040,0,,,,,,,,,,3
73,CoRoT-18,b,CoRoT-18 b,Transit,0,1,1.90006930,0.00000280,-0.00000280,0,0.029500,0.001600,-0.001600,0,0.080000,,,1,86.500,1.400,-0.900,0,3.47000,0.38000,-0.38000,0,Mass,1.310,0.180,-0.180,0,2.20000,0.80000,-0.80000,0,0,0,0,0,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,870.00,90.00,-90.00,0,780.87,27.57,-27.57,0,15.000,0.100,0,V (Johnson),14.801,,0,5440.00,100.00,-100.00,0,0.95,0.15,-0.15,0,1.00,0.13,-0.13,0,2014-05-14,1,1,0,0,0,0,3.39000e-02,3.960000e-03,-3.960000e-03,,,,,,,,,590.000,14.000,-14.000,0,1550,90,-90,0,,,,,3.47000,0.38000,-0.38000,0,,,,,1102.82000,120.77000,-120.77000,0,,,,,1102.82000,120.77000,-120.77000,0,14.680,2.020,-2.020,0,0.135,0.019,-0.019,0,,,,,0.0995000,0.0015000,-0.0015000,0,2455321.724120,0.000180,-0.000180,0,HJD,0.4000,0.0800,-0.1400,0,,,,,6.350000,0.400000,-0.400000,0,0.13410,0.00190,-0.00190,0, Hebrard et al. 2011 ,2011, Hebrard et al. 2011 ,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3,0,52,8,http://exoplanet.eu/catalog/corot-18_b/,http://exoplanets.org/detail/CoRoT-18_b,2011-09,,,6.54482733,210.819116,-4.184836,98.898264,-23.218794,,,,0,1.28,0.05,-0.05,0,2.300,0.100,0,-3.300,0.100,0,4.000,0.100,0,2.300,0.100,0,-3.300,0.100,0,4.000,0.100,0,29.55,0.02,-0.02,0,4.90,G9 V,,0,4.40,0.10,-0.10,0,,,,,1.3500,0.2500,-0.2500,0,-0.100,0.100,-0.100,0,[Fe/H],,,,,8.0000,1.0000,-1.0000,0,,,,,,,,,,,3,0,0,3,0,3,0,,,,15.000,0.100,0,,,,,,,,,,13.441,0.024,0,13.081,0.031,0,13.014,0.030,0,12.955,0.025,0,12.955,0.029,0,11.968,,-1,8.771,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,0.360,0.039,0,0.067,0.043,0,0.427,0.038,0,,,,,,,,,,3
